City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Didsbury,GB,53.417,-2.2315,43.93,75,97,17.0,overcast clouds
137,Tarakan,ID,3.3,117.6333,77.29,85,100,6.98,overcast clouds
138,Bayan,CN,46.0833,127.4,-9.78,100,94,3.18,overcast clouds
139,Alihe,CN,50.5667,123.7167,-7.31,97,82,2.93,broken clouds
140,Brownwood,US,31.7093,-98.9912,54.72,40,0,5.75,clear sky
141,Codrington,AU,-38.2667,141.9667,57.51,77,0,9.08,clear sky
142,Havelock,US,34.8791,-76.9013,53.06,69,43,5.99,scattered clouds
143,Lebu,CL,-37.6167,-73.65,66.25,64,0,13.42,clear sky
144,Bam,IR,29.106,58.357,51.3,31,0,3.11,clear sky
145,Dolores,AR,-36.3132,-57.6792,65.26,81,100,13.8,overcast clouds
146,Victoria,HK,22.2855,114.1577,62.65,84,100,1.99,overcast clouds
147,Karancskeszi,HU,48.1635,19.6969,37.96,79,100,7.4,overcast clouds
148,Eyl,SO,7.9803,49.8164,75.09,71,100,16.4,overcast clouds
149,Ilulissat,GL,69.2167,-51.1,1.42,60,100,5.75,overcast clouds
150,Lazaro Cardenas,MX,17.9583,-102.2,84.97,43,17,9.13,few clouds
151,Padang,ID,-0.9492,100.3543,77.04,75,100,3.47,overcast clouds
152,Najran,SA,17.4924,44.1277,59.65,42,9,4.32,clear sky
153,New Norfolk,AU,-42.7826,147.0587,52.72,74,4,1.95,clear sky
154,Aasiaat,GL,68.7098,-52.8699,-0.35,91,100,1.52,overcast clouds
155,Saint George,US,37.1041,-113.5841,59.47,23,0,1.99,clear sky
156,Wahiawa,US,21.5028,-158.0236,75.52,82,75,0.0,light rain
157,Slave Lake,CA,55.2834,-114.769,46.38,46,0,25.32,clear sky
158,Lompoc,US,34.6391,-120.4579,74.57,38,0,3.44,clear sky
159,Konstantinovka,RU,49.6167,127.9833,-14.19,100,100,3.11,overcast clouds
